user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
sak_2010_1_5_50m_metaG_bin.3	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014360845.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__JACIWR01;s__JACIWR01 sp014360845	76.9	0.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.75	11	0.7430223655493592	N/A
sak_2010_1_5_50m_metaG_bin.31	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	74.57	11	0.809315988207226	N/A
sak_2010_1_5_50m_metaG_bin.33	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903952205.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__CAJBEZ01 sp903952205	94.7	0.93	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	73.0	11	0.9904321669571201	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_50m_metaG_bin.34	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-46-15;g__GWA2-46-15;s__	N/A	N/A	N/A	N/A	N/A	GCA_002772575.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-46-15;g__GWA2-46-15;s__GWA2-46-15 sp002772575	78.26	0.28	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-46-15;g__GWA2-46-15;s__	taxonomic classification defined by topology and ANI	N/A	GCA_001823105.1, s__GWA2-46-15 sp001823105, 95.0, 76.48, 0.09	63.47	11	0.93320484235701	N/A
sak_2010_1_5_50m_metaG_bin.35	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001783065.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__2-12-FULL-43-12;s__2-12-FULL-43-12 sp001783065	76.01	0.09	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	67.9	11	0.8326866681875041	N/A
sak_2010_1_5_50m_metaG_bin.36	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__RBG-13-42-11;g__RBG-13-42-11;s__	N/A	N/A	N/A	N/A	N/A	GCA_001821455.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__RBG-13-42-11;g__RBG-13-42-11;s__RBG-13-42-11 sp001821455	77.3	0.13	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	58.19	11	0.8522101687972665	N/A
sak_2010_1_5_50m_metaG_bin.4	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012520735.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__JAAYNR01;s__JAAYNR01 sp012520735	76.16	0.04	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.12	11	0.8238530750937593	N/A
sak_2010_1_5_50m_metaG_bin.5	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	77.69	11	0.6385065236752182	N/A
sak_2010_1_5_50m_metaG_bin.6	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.62	0.91	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.5	11	0.9451536389473703	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_50m_metaG_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	ANI	N/A	GCA_003142255.1, s__LD21 sp003142255, 95.0, 77.25, 0.16; GCA_003141525.1, s__LD21 sp003141525, 95.0, 77.11, 0.14; GCA_012729475.1, s__LD21 sp012729475, 95.0, 77.09, 0.09; GCA_003141895.1, s__LD21 sp003141895, 95.0, 77.03, 0.1; GCA_001768195.1, s__LD21 sp001768195, 95.0, 76.94, 0.13; GCA_009877105.1, s__LD21 sp009877105, 95.0, 76.93, 0.06; GCA_013314865.1, s__LD21 sp013314865, 95.0, 76.88, 0.06; GCA_012519515.1, s__LD21 sp012519515, 95.0, 76.87, 0.06; GCA_903824785.1, s__LD21 sp903824785, 95.0, 76.85, 0.14; GCA_003501665.1, s__LD21 sp003501665, 95.0, 76.79, 0.13; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.76, 0.11; GCA_003162595.1, s__LD21 sp003162595, 95.0, 76.62, 0.1; GCA_003157055.1, s__LD21 sp003157055, 95.0, 76.55, 0.13; GCA_003141715.1, s__LD21 sp003141715, 95.0, 76.55, 0.1; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.38, 0.18; GCA_003520925.1, s__LD21 sp003520925, 95.0, 76.32, 0.12; GCA_002070505.1, s__LD21 sp002070505, 95.0, 76.31, 0.15; GCA_003157015.1, s__LD21 sp003157015, 95.0, 76.27, 0.12; GCA_903844815.1, s__LD21 sp903844815, 95.0, 76.26, 0.08; GCA_003141495.1, s__LD21 sp003141495, 95.0, 76.25, 0.12; GCA_003157075.1, s__LD21 sp003157075, 95.0, 76.24, 0.08; GCA_002424525.1, s__LD21 sp002424525, 95.0, 76.2, 0.1; GCA_002319915.1, s__LD21 sp002319915, 95.0, 76.18, 0.08; GCA_012517605.1, s__LD21 sp012517605, 95.0, 76.18, 0.1; GCA_012522155.1, s__LD21 sp012522155, 95.0, 76.14, 0.09; GCA_003141415.1, s__LD21 sp003141415, 95.0, 76.1, 0.1; GCA_002319885.1, s__LD21 sp002319885, 95.0, 75.84, 0.11; GCA_002428385.1, s__LD21 sp002428385, 95.0, 75.83, 0.07; GCA_003155705.1, s__LD21 sp003155705, 95.0, 75.81, 0.08	66.15	11	0.9299981706322986	N/A
sak_2010_1_5_55m_metaG_bin.1	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__UBA646;s__	N/A	N/A	N/A	N/A	N/A	GCA_002299965.1	95.0	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__UBA646;s__UBA646 sp002299965	93.26	0.83	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__UBA646;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003650285.1, s__UBA646 sp003650285, 95.0, 91.74, 0.87	90.33	11	0.9727203907862642	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_55m_metaG_bin.10	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903952205.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__CAJBEZ01 sp903952205	94.63	0.88	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.5	11	0.9889263362365698	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_55m_metaG_bin.11	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	N/A	N/A	N/A	N/A	N/A	GCA_903908785.1	95.0	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__UBA2258 sp903908785	83.34	0.58	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002347155.1, s__UBA2258 sp002347155, 95.0, 80.12, 0.45	80.21	11	0.9724323933086746	N/A
sak_2010_1_5_55m_metaG_bin.13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__JAAYZB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012515085.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__JAAYZB01;s__JAAYZB01 sp012515085	75.99	0.06	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.27	11	0.9153064925137134	N/A
sak_2010_1_5_55m_metaG_bin.14	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA4787;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002402995.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA4787;g__4787;s__4787 sp002402995	77.54	0.03	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.27	11	0.7392047165224936	N/A
sak_2010_1_5_55m_metaG_bin.16	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.64	0.89	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.44	11	0.9461483970178571	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_55m_metaG_bin.17	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__CG1-02-41-26;s__	N/A	N/A	N/A	N/A	N/A	GCA_002773545.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__CG1-02-41-26;s__CG1-02-41-26 sp002773545	79.34	0.3	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	64.03	11	0.8947521724058621	N/A
sak_2010_1_5_55m_metaG_bin.18	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014360845.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__JACIWR01;s__JACIWR01 sp014360845	76.75	0.09	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.6	11	0.7422633012691006	N/A
sak_2010_1_5_55m_metaG_bin.19	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	98.97	0.85	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	98.97	0.85	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.26	11	N/A	N/A
sak_2010_1_5_55m_metaG_bin.2	d__Bacteria;p__Omnitrophota;c__Koll11;o__JABMRG01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	66.73	11	0.74275976832977	N/A
sak_2010_1_5_55m_metaG_bin.20	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	GCA_007280145.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	98.84	0.82	GCA_007280145.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	98.84	0.82	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	80.46	11	N/A	N/A
sak_2010_1_5_55m_metaG_bin.21	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012520735.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__JAAYNR01;s__JAAYNR01 sp012520735	76.02	0.04	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.29	11	0.8215063929723113	N/A
sak_2010_1_5_55m_metaG_bin.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007280875.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__QYOJ01 sp007280875	77.76	0.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_014382125.1, s__QYOJ01 sp014382125, 95.0, 76.93, 0.17	93.43	11	0.9382715783154026	N/A
sak_2010_1_5_55m_metaG_bin.23	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249785.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__UBA2284 sp003249785	78.67	0.41	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	taxonomic classification defined by topology and ANI	N/A	GCA_006226985.1, s__UBA2284 sp006226985, 95.0, 78.66, 0.24; GCA_002839095.1, s__UBA2284 sp002839095, 95.0, 77.7, 0.28; GCA_003518475.1, s__UBA2284 sp003518475, 95.0, 77.65, 0.16; GCA_002345705.1, s__UBA2284 sp002345705, 95.0, 77.62, 0.22; GCA_001830045.1, s__UBA2284 sp001830045, 95.0, 77.11, 0.16; GCA_002424575.1, s__UBA2284 sp002424575, 95.0, 76.9, 0.11; GCA_002418725.1, s__UBA2284 sp002418725, 95.0, 76.86, 0.14; GCA_003605085.1, s__UBA2284 sp003605085, 95.0, 76.33, 0.11; GCA_002422045.1, s__UBA2284 sp002422045, 95.0, 76.08, 0.08	88.33	11	0.9765542982798251	N/A
sak_2010_1_5_55m_metaG_bin.24	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	GCA_000404785.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	97.28	0.86	GCA_000404785.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	97.28	0.86	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_014382685.1, s__JGIOTU-2 sp014382685, 95.0, 87.06, 0.81; GCA_002049945.1, s__JGIOTU-2 sp002049945, 95.0, 86.85, 0.51; GCA_011043895.1, s__JGIOTU-2 sp011043895, 95.0, 77.08, 0.18	83.56	11	N/A	N/A
sak_2010_1_5_55m_metaG_bin.26	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	84.69	11	0.8065396588893302	N/A
sak_2010_1_5_55m_metaG_bin.28	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_002774465.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__PEYH01 sp002774465	78.71	0.53	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	61.33	11	0.9290909344462757	N/A
sak_2010_1_5_55m_metaG_bin.29	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	GCA_003669585.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	98.95	0.99	GCA_003669585.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	98.95	0.99	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	56.18	11	N/A	N/A
sak_2010_1_5_55m_metaG_bin.3	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp003670915	GCA_003670915.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp003670915	96.64	0.67	GCA_003670915.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp003670915	96.64	0.67	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903877395.1, s__BAIKAL-G1-2R sp903877395, 95.0, 91.3, 0.74; GCA_002737405.1, s__BAIKAL-G1-2R sp002737405, 95.0, 81.41, 0.25; GCA_003670865.1, s__BAIKAL-G1-2R sp003670865, 95.0, 76.68, 0.15	75.16	11	N/A	N/A
sak_2010_1_5_55m_metaG_bin.4	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	70.92	11	0.7053913338271645	N/A
sak_2010_1_5_55m_metaG_bin.5	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.47	11	0.8660256275929435	N/A
sak_2010_1_5_55m_metaG_bin.6	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__UBA2210;s__	N/A	N/A	N/A	N/A	N/A	GCA_002327865.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__UBA2210;s__UBA2210 sp002327865	78.29	0.36	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.45	11	0.8951357497659244	N/A
sak_2010_1_5_55m_metaG_bin.7	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	81.34	11	0.809107374253333	N/A
sak_2010_1_5_55m_metaG_bin.8	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__UBA6264;s__	N/A	N/A	N/A	N/A	N/A	GCA_002452615.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__UBA6264;s__UBA6264 sp002452615	76.69	0.24	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	63.97	11	0.8597968608913004	N/A
sak_2010_1_5_55m_metaG_bin.9	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__UBA2242;g__B118-G9;s__	N/A	N/A	N/A	N/A	N/A	GCA_003645845.1	95.0	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__UBA2242;g__B118-G9;s__B118-G9 sp003645845	77.39	0.21	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__UBA2242;g__B118-G9;s__	taxonomic classification defined by topology and ANI	N/A	GCA_011046365.1, s__B118-G9 sp011046365, 95.0, 76.79, 0.17	84.83	11	0.898731167102147	N/A
sak_2010_1_5_80m_metaG_bin.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	ANI	N/A	GCA_003162595.1, s__LD21 sp003162595, 95.0, 77.0, 0.09; GCA_003142255.1, s__LD21 sp003142255, 95.0, 76.64, 0.16; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.63, 0.17; GCA_903824785.1, s__LD21 sp903824785, 95.0, 76.54, 0.13; GCA_002070505.1, s__LD21 sp002070505, 95.0, 76.48, 0.14; GCA_003141715.1, s__LD21 sp003141715, 95.0, 76.41, 0.1; GCA_002319885.1, s__LD21 sp002319885, 95.0, 76.34, 0.11; GCA_003141415.1, s__LD21 sp003141415, 95.0, 76.34, 0.09; GCA_003157055.1, s__LD21 sp003157055, 95.0, 76.33, 0.11; GCA_003141895.1, s__LD21 sp003141895, 95.0, 76.32, 0.11; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.26, 0.12; GCA_012517605.1, s__LD21 sp012517605, 95.0, 76.25, 0.11; GCA_003141495.1, s__LD21 sp003141495, 95.0, 76.21, 0.11; GCA_012729475.1, s__LD21 sp012729475, 95.0, 76.19, 0.08; GCA_012522155.1, s__LD21 sp012522155, 95.0, 76.1, 0.06; GCA_001768195.1, s__LD21 sp001768195, 95.0, 76.08, 0.1; GCA_003157015.1, s__LD21 sp003157015, 95.0, 76.07, 0.12; GCA_002319915.1, s__LD21 sp002319915, 95.0, 76.06, 0.08; GCA_003141525.1, s__LD21 sp003141525, 95.0, 76.05, 0.12; GCA_003155705.1, s__LD21 sp003155705, 95.0, 76.03, 0.07; GCA_003157075.1, s__LD21 sp003157075, 95.0, 75.99, 0.11; GCA_002424525.1, s__LD21 sp002424525, 95.0, 75.97, 0.11; GCA_903844815.1, s__LD21 sp903844815, 95.0, 75.96, 0.08; GCA_009877105.1, s__LD21 sp009877105, 95.0, 75.77, 0.06; GCA_002428385.1, s__LD21 sp002428385, 95.0, 75.76, 0.06; GCA_003501665.1, s__LD21 sp003501665, 95.0, 75.75, 0.13; GCA_013314865.1, s__LD21 sp013314865, 95.0, 75.71, 0.07; GCA_012519515.1, s__LD21 sp012519515, 95.0, 75.68, 0.08; GCA_003520925.1, s__LD21 sp003520925, 95.0, 75.61, 0.14	59.2	11	0.9208782666158507	N/A
sak_2010_1_5_80m_metaG_bin.13	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903952205.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__CAJBEZ01 sp903952205	94.51	0.88	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	70.68	11	0.9902223711480029	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_80m_metaG_bin.14	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	71.23	11	0.8094724610787939	N/A
